parent_commit,parent_test_file,current_commit,current_test_file,committer,author,committed_date,change_type,parent_prod_file,current_prod_file
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/replication/TestReplicationSupervisor.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/container-service/src/test/java/org/apache/hadoop/ozone/container/replication/TestReplicationSupervisor.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/ozone/container/replication/ReplicationSupervisor.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/framework/src/test/java/org/apache/hadoop/hdds/server/TestBaseHttpServer.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/framework/src/test/java/org/apache/hadoop/hdds/server/TestBaseHttpServer.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/framework/src/main/java/org/apache/hadoop/hdds/server/BaseHttpServer.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/framework/src/test/java/org/apache/hadoop/hdds/server/events/TestEventQueue.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/framework/src/test/java/org/apache/hadoop/hdds/server/events/TestEventQueue.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/framework/src/main/java/org/apache/hadoop/hdds/server/events/EventQueue.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/framework/src/test/java/org/apache/hadoop/hdds/server/events/TestEventQueueChain.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/framework/src/test/java/org/apache/hadoop/hdds/server/events/TestEventQueueChain.java,Sunil G,Sunil G,1538736047,D,,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/framework/src/test/java/org/apache/hadoop/hdds/server/events/TestEventWatcher.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/framework/src/test/java/org/apache/hadoop/hdds/server/events/TestEventWatcher.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/framework/src/main/java/org/apache/hadoop/hdds/server/events/EventWatcher.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/HddsServerUtilTest.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/HddsServerUtilTest.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/container-service/src/main/java/org/apache/hadoop/hdds/scm/HddsServerUtil.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/TestStorageContainerManagerHttpServer.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/TestStorageContainerManagerHttpServer.java,Sunil G,Sunil G,1538736047,D,/hdd/dj/testSmellDetection/gitRepo/hadoop/hadoop-hdds/server-scm/src/main/java/org/apache/hadoop/hdds/scm/server/StorageContainerManagerHttpServer.java,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/TestUtils.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/TestUtils.java,Sunil G,Sunil G,1538736047,D,,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/block/TestBlockManager.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/block/TestBlockManager.java,Sunil G,Sunil G,1538736047,D,,
83b9b25c5136bfb99477b1142af22cb4a4b36be5,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/block/TestDeletedBlockLog.java,2c392da8aa790ea7541745c4d77e0b5ecbc47ac6,hadoop-hdds/server-scm/src/test/java/org/apache/hadoop/hdds/scm/block/TestDeletedBlockLog.java,Sunil G,Sunil G,1538736047,D,,
